Company,Code,Last Price
ELANOR INVESTORS GROUP,ENN,1.58
EQT HOLDINGS LIMITED,EQT,25.25
VANECK VIDEO GAMING AND ESPORTS ETF,ESPO,9.51
BETASHARES GLOBAL SUSTAINABILITY LEADERS ETF,ETHI,11.68
EVOLUTION MINING LIMITED,EVN,2.81
EVT LIMITED,EVT,11.90
BETASHARES FTSE 100 ETF,F100,10.46
BETASHARES AUSTRALIAN SUSTAINABILITY LEADERS ETF,FAIR,17.24
GLOBAL X FANG+ ETF,FANG,14.45
FLETCHER BUILDING LIMITED,FBU,4.01
FINEOS CORPORATION HOLDINGS PLC,FCL,1.15
FIDUCIAN GROUP LIMITED,FID,6.25
VANECK AUSTRALIAN FLOATING RATE ETF,FLOT,24.81
FLIGHT CENTRE TRAVEL GROUP LIMITED,FLT,18.02
FORTESCUE METALS GROUP LTD,FMG,21.10
BETASHARES GLOBAL AGRICULTURE ETF - CURRENCY HEDGED,FOOD,6.99
FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,FPH,23.49
BETASHARES GLOBAL ENERGY COMPANIES ETF - CURRENCY HEDGED,FUEL,5.95
VANECK GOLD MINERS ETF,GDX,45.79
BETASHARES GEARED AUSTRALIAN EQUITY FUND (HEDGE FUND),GEAR,23.15
GLOBE INTERNATIONAL LIMITED,GLB,2.69
GOODMAN GROUP,GMG,18.45
GRAINCORP LIMITED,GNC,6.92
GR ENGINEERING SERVICES LIMITED,GNG,1.88
GLOBAL X METAL SECURITIES AUSTRALIA LIMITED.,GOLD,26.99
GROWTHPOINT PROPERTIES AUSTRALIA,GOZ,2.99
GPT GROUP,GPT,4.26
G.U.D. HOLDINGS LIMITED,GUD,9.18
GWA GROUP LIMITED.,GWA,1.63
BETASHARES GLOBAL CYBERSECURITY ETF,HACK,8.54
HASTINGS TECHNOLOGY METALS LTD,HAS,2.68
BETASHARES ACTIVE AUSTRALIAN HYBRIDS FUND (MANAGED FUND),HBRD,9.94
HEALTHCO HEALTHCARE AND WELLNESS REIT,HCW,1.47
GLOBAL X HYDROGEN ETF,HGEN,7.27
HELIA GROUP LIMITED,HLI,2.84
HELLOWORLD TRAVEL LIMITED,HLO,2.11
HEALIUS LIMITED,HLS,3.01
HEARTS AND MINDS INVESTMENTS LIMITED,HM1,2.35
HMC CAPITAL LIMITED,HMC,3.72
HOTEL PROPERTY INVESTMENTS,HPI,3.34
HANSEN TECHNOLOGIES LIMITED,HSN,4.44
HUB24 LIMITED,HUB,28.32
HARVEY NORMAN HOLDINGS LIMITED,HVN,3.72
ISHARES CORE COMPOSITE BOND ETF,IAF,102.60
INSURANCE AUSTRALIA GROUP LIMITED,IAG,4.64
INTEGRAL DIAGNOSTICS LIMITED,IDX,2.83
IDP EDUCATION LIMITED,IEL,26.78
ISHARES MSCI EMERGING MARKETS ETF,IEM,56.91
ISHARES EUROPE ETF,IEU,72.65
INSIGNIA FINANCIAL LTD,IFL,2.92
VANECK FTSE GLOBAL INFRASTRUCTURE (HEDGED) ETF,IFRA,20.13
IGO LIMITED,IGO,12.22
ISHARES GOVERNMENT INFLATION ETF,ILB,125.70
ILUKA RESOURCES LIMITED,ILU,10.07
IMDEX LIMITED,IMD,2.11
EINVEST BETTER FUTURE FUND (MANAGED FUND),IMPQ,4.61
INGENIA COMMUNITIES GROUP,INA,3.41
INGHAMS GROUP LIMITED,ING,3.01
IPH LIMITED,IPH,7.56
INCITEC PIVOT LIMITED,IPL,3.19
IRESS LIMITED,IRE,8.96
INVOCARE LIMITED,IVC,11.72
ISHARES S&P 500 ETF,IVV,40.11
ISHARES GLOBAL CONSUMER STAPLES ETF,IXI,89.81
ISHARES GLOBAL HEALTHCARE ETF,IXJ,121.78
JB HI-FI LIMITED,JBH,42.43
JANUS HENDERSON GROUP PLC,JHG,38.82
JAMES HARDIE INDUSTRIES PLC,JHX,31.35
JUMBO INTERACTIVE LIMITED,JIN,12.91
JOHNS LYNG GROUP LIMITED,JLG,6.17
KAROON ENERGY LTD,KAR,2.01
KINGSGATE CONSOLIDATED LIMITED.,KCN,1.77
KOGAN.COM LTD,KGN,4.09
KELSIAN GROUP LIMITED,KLS,6.16
LIBERTY FINANCIAL GROUP,LFG,3.65
LYNCH GROUP HOLDINGS LIMITED,LGL,1.74
LIFESTYLE COMMUNITIES LIMITED,LIC,15.03
LENDLEASE GROUP,LLC,7.20
LINK ADMINISTRATION HOLDINGS LIMITED,LNK,2.03
LOVISA HOLDINGS LIMITED,LOV,22.81
LARK DISTILLING CO. LTD,LRK,1.66
L1 LONG SHORT FUND LIMITED,LSF,2.67
LYNAS RARE EARTHS LIMITED,LYC,6.49
MADER GROUP LIMITED,MAD,3.92
MA FINANCIAL GROUP LIMITED,MAF,4.04
MACQUARIE TELECOM GROUP LIMITED,MAQ,58.50
MINCOR RESOURCES NL,MCR,1.51
MAGELLAN FINANCIAL GROUP LIMITED,MFG,8.21
MAAS GROUP HOLDINGS LIMITED,MGH,2.60
MIRVAC GROUP,MGR,2.10
MINERAL RESOURCES LIMITED,MIN,79.85
MCMILLAN SHAKESPEARE LIMITED,MMS,14.20
MONADELPHOUS GROUP LIMITED,MND,11.56
MEGAPORT LIMITED,MP1,4.33
MEDIBANK PRIVATE LIMITED,MPL,3.23
MACQUARIE GROUP LIMITED,MQG,175.69
METCASH LIMITED,MTS,3.82
VANECK AUSTRALIAN PROPERTY ETF,MVA,20.21
VANECK AUSTRALIAN EQUAL WEIGHT ETF,MVW,33.06
MYSTATE LIMITED,MYS,3.60
MAYNE PHARMA GROUP LIMITED,MYX,3.74
NATIONAL AUSTRALIA BANK LIMITED,NAB,28.50
NANOSONICS LIMITED,NAN,4.95
NICK SCALI LIMITED,NCK,8.96
NEWCREST MINING LIMITED,NCM,25.34
BETASHARES NASDAQ 100 ETF,NDQ,29.53
NINE ENTERTAINMENT CO. HOLDINGS LIMITED,NEC,1.90
NEUREN PHARMACEUTICALS LIMITED,NEU,12.96
NEW HOPE CORPORATION LIMITED,NHC,5.46
NIB HOLDINGS LIMITED,NHF,6.94
NATIONAL STORAGE REIT,NSR,2.51
NORTHERN STAR RESOURCES LTD,NST,11.13
NUFARM LIMITED,NUF,5.41
NOVONIX LIMITED,NVX,1.23
NRW HOLDINGS LIMITED,NWH,2.12
NETWEALTH GROUP LIMITED,NWL,13.14
NEWS CORPORATION..,NWS,24.41
NEXTDC LIMITED,NXT,9.99
OMNI BRIDGEWAY LIMITED,OBL,2.43
OBJECTIVE CORPORATION LIMITED,OCL,12.34
OFX GROUP LIMITED,OFX,1.74
BETASHARES CRUDE OIL INDEX ETF-CURRENCY HEDGED (SYNTHETIC),OOO,4.82
ORORA LIMITED,ORA,3.27
ORIGIN ENERGY LIMITED,ORG,7.97
ORICA LIMITED,ORI,15.31
SPDR S&P/ASX 200 FINANCIALS EX A-REIT FUND,OZF,20.12
PACIFIC CURRENT GROUP LIMITED,PAC,6.93
POINTSBET HOLDINGS LIMITED,PBH,1.27
PROPEL FUNERAL PARTNERS LIMITED,PFP,4.30
PLATINUM INTERNATIONAL FUND (QUOTED MANAGED HEDGE FUND),PIXX,4.96
PILBARA MINERALS LIMITED,PLS,3.62
PRO MEDICUS LIMITED,PME,65.36
PREMIER INVESTMENTS LIMITED,PMV,25.97
PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,PNI,7.90
POLYNOVO LIMITED,PNV,2.03
PEOPLEIN LIMITED,PPE,2.74
PERPETUAL LIMITED,PPT,21.94
PERSEUS MINING LIMITED,PRU,2.14
PSC INSURANCE GROUP LIMITED,PSI,4.85
PACIFIC SMILES GROUP LIMITED,PSQ,1.11
PLATINUM ASSET MANAGEMENT LIMITED,PTM,1.73
PWR HOLDINGS LIMITED,PWH,9.45
PETER WARREN AUTOMOTIVE HOLDINGS LIMITED,PWR,2.67
PEXA GROUP LIMITED,PXA,12.21
QUALITAS LIMITED,QAL,2.32
QANTAS AIRWAYS LIMITED,QAN,6.41
